V78,V10,V91
0,9,415
0,4,1
0,1,1
0,0,9
0,0,1
0,5,2
0,0,1
1,0,38
0,0,0
0,2,1
0,62,1
0,2,4
0,0,3
1,0,0
0,4,0
0,2,11
0,271,0
0,24,1
0,0,1
0,8,1
0,2,790
1,22,3
0,1,3
0,0,0
0,0,1
1,0,0
0,3,0
0,1,5
0,4,0
0,25,0
0,0,0
0,0,836
0,23,2
0,0,42
0,0,0
0,5,5
0,19,5
0,0,0
1,345,0
0,0,0
0,2,384
0,0,0
0,0,1
0,35,11
0,2,382
2,0,0
1,0,1
0,2,1
0,4,38
0,1,18
0,0,2
0,3,0
1,0,0
0,1,28
0,0,0
0,26,0
1,23,1
0,46,0
0,95,10
0,37,32
0,748,10
0,1,7
0,136,20
0,6,1
0,1,0
0,1,0
0,447,1
1,1,242
0,0,0
0,61,0
1,2,14
2,370,2
0,0,39
1,1,0
0,0,0
0,0,0
0,14,0
0,1,1
0,5,1
0,0,0
0,0,1
0,3,7
0,0,150
0,1,2
0,254,0
0,0,6
0,0,352
0,2,2
0,1,282
0,3,0
0,0,197
0,1,20
0,0,0
1,23,21
0,1,0
28,1059,1047
0,1,0
0,0,0
0,0,0
1,1,557
0,464,7
0,7,132
0,3,1
0,464,2
0,0,0
0,0,4
0,153,371
1,129,2
0,0,1
0,9,1
0,4,1
0,0,4
1,9,1
0,1,0
0,1,0
0,2,0
0,0,0
0,10,5
0,11,0
0,0,0
