V84,V63,V77,V37
0,77,0,91
0,0,0,0
0,0,0,72
62,22,2,494
0,3,8,0
1,4,0,50
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,1,2
0,26,1,24
9,0,0,0
1,1,3,0
0,0,0,0
793,812,860,870
24,4,0,8
0,0,0,0
0,10,0,26
0,0,0,5
1,1,1,0
57,20,6,1
1,0,0,0
0,5,1,0
1,5,0,0
0,256,1,0
114,16,1,111
2,0,0,2
0,0,1,233
0,466,0,0
1,1,13,0
2,0,9,1
0,0,0,0
0,1,0,0
0,105,0,1
82,207,1,3
0,0,1,0
0,134,0,1
0,2,0,1
0,4,0,0
0,0,1,0
0,1,21,94
2,0,0,0
0,0,0,208
0,9,0,185
0,0,0,0
0,1,0,0
75,3,0,0
0,444,1,1
1,5,0,3
0,0,0,0
0,0,0,12
0,2,0,24
0,2,17,537
0,0,0,0
0,0,0,3
3,7,0,0
0,0,0,1
0,0,0,1
2,6,0,1
0,0,12,0
0,0,0,0
1,0,8,0
6,2,35,38
0,0,0,0
1,1,74,1
1,2,0,0
2,18,0,22
0,0,0,5
32,106,0,0
0,3,0,18
0,0,0,6
0,0,233,1
1,0,1,0
262,0,0,0
1,0,0,28
1,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
7,19,1,0
0,0,0,0
0,0,685,0
0,0,0,2
0,20,0,0
12,8,0,454
1,5,0,7
0,99,0,0
0,0,0,1
1,2,132,0
0,0,2,0
4,119,0,86
0,0,11,1
0,0,0,0
2,0,60,2
0,0,0,2
1,0,0,35
314,0,0,0
375,998,0,0
0,944,0,20
3,0,72,0
0,0,0,0
1,0,1,45
0,1,1,1
0,7,5,74
0,0,1,33
0,319,0,0
14,15,4,0
0,0,1,0
1,2,0,0
28,0,216,0
0,0,0,0
1,0,0,0
12,0,0,0
0,0,1,0
1,0,0,0
128,0,1,0
143,1,1,0
7,0,0,0
0,0,404,0
